[2026-09-06 00:46:14] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:46:13.907Z"} 
[2026-09-06 00:46:19] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:46:19.167Z"} 
[2026-09-06 00:46:40] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:46:39.956Z"} 
[2026-09-06 00:47:39] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:47:39.445Z"} 
[2026-09-06 00:47:47] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:47:47.396Z"} 
[2026-09-06 00:58:15] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:58:15.592Z"} 
[2026-09-06 00:58:21] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:58:21.426Z"} 
[2026-09-06 00:58:25] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:58:24.921Z"} 
[2026-09-06 00:58:41] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:58:41.298Z"} 
[2026-09-06 01:00:20] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:20.392Z"} 
